The container contains 10000 shapes:
Parallelepiped: a = 18  b = 15  c = 2, Volume = 540.0, Density = 11
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 19
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 1
Parallelepiped: a = 21  b = 9  c = 24, Volume = 4536.0, Density = 19
Parallelepiped: a = 11  b = 3  c = 12, Volume = 396.0, Density = 3
Sphere: x = 9, Volume = 546.75, Density = 7
Parallelepiped: a = 21  b = 19  c = 9, Volume = 3591.0, Density = 10
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 9
Parallelepiped: a = 16  b = 1  c = 15, Volume = 240.0, Density = 7
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 18
Sphere: x = 2, Volume = 6.0, Density = 11
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 10
Tetrahedron: a = 16, Volume = 482.7182292900165, Density = 20
Parallelepiped: a = 8  b = 10  c = 3, Volume = 240.0, Density = 24
Sphere: x = 20, Volume = 6000.0, Density = 17
Parallelepiped: a = 0  b = 11  c = 16, Volume = 0.0, Density = 13
Parallelepiped: a = 15  b = 7  c = 9, Volume = 945.0, Density = 12
Sphere: x = 8, Volume = 384.0, Density = 18
Parallelepiped: a = 13  b = 18  c = 19, Volume = 4446.0, Density = 5
Sphere: x = 19, Volume = 5144.25, Density = 7
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 23
Sphere: x = 23, Volume = 9125.25, Density = 1
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 15
Parallelepiped: a = 2  b = 24  c = 8, Volume = 384.0, Density = 13
Parallelepiped: a = 21  b = 19  c = 14, Volume = 5586.0, Density = 14
Sphere: x = 16, Volume = 3072.0, Density = 22
Parallelepiped: a = 7  b = 12  c = 23, Volume = 1932.0, Density = 11
Parallelepiped: a = 20  b = 6  c = 14, Volume = 1680.0, Density = 18
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 21
Sphere: x = 9, Volume = 546.75, Density = 21
Sphere: x = 17, Volume = 3684.75, Density = 14
Sphere: x = 17, Volume = 3684.75, Density = 0
Parallelepiped: a = 7  b = 15  c = 8, Volume = 840.0, Density = 10
Sphere: x = 4, Volume = 48.0, Density = 24
Parallelepiped: a = 4  b = 22  c = 17, Volume = 1496.0, Density = 15
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 10
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 18
Tetrahedron: a = 16, Volume = 482.7182292900165, Density = 14
Sphere: x = 3, Volume = 20.25, Density = 11
Parallelepiped: a = 4  b = 7  c = 20, Volume = 560.0, Density = 2
Sphere: x = 15, Volume = 2531.25, Density = 8
Sphere: x = 22, Volume = 7986.0, Density = 1
Parallelepiped: a = 19  b = 3  c = 3, Volume = 171.0, Density = 2
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 2
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 13
Parallelepiped: a = 23  b = 17  c = 16, Volume = 6256.0, Density = 8
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 17
Sphere: x = 13, Volume = 1647.75, Density = 3
Parallelepiped: a = 23  b = 20  c = 18, Volume = 8280.0, Density = 12
Parallelepiped: a = 23  b = 9  c = 1, Volume = 207.0, Density = 18
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 12
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 7
Sphere: x = 21, Volume = 6945.75, Density = 4
Parallelepiped: a = 9  b = 12  c = 5, Volume = 540.0, Density = 17
Parallelepiped: a = 9  b = 16  c = 4, Volume = 576.0, Density = 22
Tetrahedron: a = 17, Volume = 579.0026026615848, Density = 6
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 1
Sphere: x = 8, Volume = 384.0, Density = 13
Parallelepiped: a = 11  b = 5  c = 9, Volume = 495.0, Density = 22
Parallelepiped: a = 3  b = 23  c = 21, Volume = 1449.0, Density = 5
Tetrahedron: a = 0, Volume = 0.0, Density = 20
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 2
Tetrahedron: a = 9, Volume = 85.91347391416554, Density = 7
Sphere: x = 19, Volume = 5144.25, Density = 0
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 8
Parallelepiped: a = 23  b = 14  c = 1, Volume = 322.0, Density = 10
Parallelepiped: a = 20  b = 21  c = 23, Volume = 9660.0, Density = 15
Parallelepiped: a = 11  b = 7  c = 0, Volume = 0.0, Density = 13
Sphere: x = 8, Volume = 384.0, Density = 8
Sphere: x = 10, Volume = 750.0, Density = 2
Sphere: x = 19, Volume = 5144.25, Density = 6
Sphere: x = 21, Volume = 6945.75, Density = 16
Parallelepiped: a = 1  b = 10  c = 5, Volume = 50.0, Density = 8
Sphere: x = 17, Volume = 3684.75, Density = 14
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 1
Sphere: x = 5, Volume = 93.75, Density = 24
Sphere: x = 7, Volume = 257.25, Density = 12
Parallelepiped: a = 7  b = 17  c = 11, Volume = 1309.0, Density = 23
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 22
Sphere: x = 14, Volume = 2058.0, Density = 3
Parallelepiped: a = 5  b = 17  c = 10, Volume = 850.0, Density = 20
Sphere: x = 8, Volume = 384.0, Density = 4
Sphere: x = 0, Volume = 0.0, Density = 18
Parallelepiped: a = 20  b = 13  c = 10, Volume = 2600.0, Density = 21
Parallelepiped: a = 0  b = 22  c = 9, Volume = 0.0, Density = 15
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 11
Parallelepiped: a = 20  b = 13  c = 16, Volume = 4160.0, Density = 5
Parallelepiped: a = 17  b = 17  c = 13, Volume = 3757.0, Density = 4
Tetrahedron: a = 9, Volume = 85.91347391416554, Density = 22
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 8
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 8
Parallelepiped: a = 12  b = 22  c = 9, Volume = 2376.0, Density = 20
Sphere: x = 10, Volume = 750.0, Density = 7
Sphere: x = 23, Volume = 9125.25, Density = 17
Sphere: x = 5, Volume = 93.75, Density = 11
Tetrahedron: a = 1, Volume = 0.11785113019775793, Density = 24
Parallelepiped: a = 23  b = 4  c = 14, Volume = 1288.0, Density = 6
Parallelepiped: a = 13  b = 7  c = 7, Volume = 637.0, Density = 3
Sphere: x = 22, Volume = 7986.0, Density = 12
Parallelepiped: a = 14  b = 5  c = 19, Volume = 1330.0, Density = 14
Sphere: x = 23, Volume = 9125.25, Density = 7
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 11
Sphere: x = 3, Volume = 20.25, Density = 9
Parallelepiped: a = 11  b = 0  c = 4, Volume = 0.0, Density = 24
Sphere: x = 17, Volume = 3684.75, Density = 17
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 14
Sphere: x = 11, Volume = 998.25, Density = 21
Parallelepiped: a = 2  b = 15  c = 10, Volume = 300.0, Density = 10
Sphere: x = 16, Volume = 3072.0, Density = 22
Parallelepiped: a = 17  b = 8  c = 14, Volume = 1904.0, Density = 6
Sphere: x = 1, Volume = 0.75, Density = 0
Tetrahedron: a = 3, Volume = 3.1819805153394642, Density = 24
Parallelepiped: a = 19  b = 1  c = 16, Volume = 304.0, Density = 2
Tetrahedron: a = 8, Volume = 60.33977866125206, Density = 9
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 2
Tetrahedron: a = 16, Volume = 482.7182292900165, Density = 22
Parallelepiped: a = 11  b = 17  c = 20, Volume = 3740.0, Density = 14
Sphere: x = 17, Volume = 3684.75, Density = 8
Sphere: x = 11, Volume = 998.25, Density = 16
Parallelepiped: a = 19  b = 21  c = 12, Volume = 4788.0, Density = 18
Sphere: x = 21, Volume = 6945.75, Density = 12
Tetrahedron: a = 17, Volume = 579.0026026615848, Density = 15
Parallelepiped: a = 2  b = 6  c = 0, Volume = 0.0, Density = 24
Tetrahedron: a = 1, Volume = 0.11785113019775793, Density = 5
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 17
Sphere: x = 1, Volume = 0.75, Density = 11
Parallelepiped: a = 10  b = 13  c = 20, Volume = 2600.0, Density = 19
Parallelepiped: a = 22  b = 20  c = 5, Volume = 2200.0, Density = 1
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 13
Parallelepiped: a = 19  b = 14  c = 1, Volume = 266.0, Density = 24
Sphere: x = 2, Volume = 6.0, Density = 16
Parallelepiped: a = 2  b = 8  c = 7, Volume = 112.0, Density = 0
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 23
Parallelepiped: a = 21  b = 10  c = 10, Volume = 2100.0, Density = 1
Sphere: x = 4, Volume = 48.0, Density = 22
Sphere: x = 24, Volume = 10368.0, Density = 3
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 3
Sphere: x = 13, Volume = 1647.75, Density = 1
Tetrahedron: a = 9, Volume = 85.91347391416554, Density = 15
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 9
Sphere: x = 21, Volume = 6945.75, Density = 9
Sphere: x = 0, Volume = 0.0, Density = 13
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 14
Parallelepiped: a = 1  b = 6  c = 0, Volume = 0.0, Density = 0
Sphere: x = 3, Volume = 20.25, Density = 12
Sphere: x = 4, Volume = 48.0, Density = 14
Sphere: x = 19, Volume = 5144.25, Density = 3
Parallelepiped: a = 5  b = 2  c = 11, Volume = 110.0, Density = 19
Sphere: x = 17, Volume = 3684.75, Density = 11
Parallelepiped: a = 10  b = 20  c = 15, Volume = 3000.0, Density = 22
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 7
Parallelepiped: a = 1  b = 8  c = 1, Volume = 8.0, Density = 17
Parallelepiped: a = 13  b = 7  c = 13, Volume = 1183.0, Density = 10
Parallelepiped: a = 8  b = 8  c = 21, Volume = 1344.0, Density = 14
Sphere: x = 19, Volume = 5144.25, Density = 4
Parallelepiped: a = 1  b = 20  c = 2, Volume = 40.0, Density = 9
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 17
Tetrahedron: a = 10, Volume = 117.85113019775793, Density = 4
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 6
Tetrahedron: a = 3, Volume = 3.1819805153394642, Density = 7
Sphere: x = 13, Volume = 1647.75, Density = 12
Sphere: x = 1, Volume = 0.75, Density = 21
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 10
Sphere: x = 6, Volume = 162.0, Density = 19
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 15
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 19
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 7
Sphere: x = 8, Volume = 384.0, Density = 20
Sphere: x = 14, Volume = 2058.0, Density = 12
Sphere: x = 24, Volume = 10368.0, Density = 1
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 14
Sphere: x = 9, Volume = 546.75, Density = 18
Parallelepiped: a = 19  b = 0  c = 20, Volume = 0.0, Density = 1
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 6
Tetrahedron: a = 20, Volume = 942.8090415820634, Density = 22
Parallelepiped: a = 15  b = 10  c = 3, Volume = 450.0, Density = 9
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 5
Sphere: x = 15, Volume = 2531.25, Density = 20
Sphere: x = 16, Volume = 3072.0, Density = 21
Sphere: x = 4, Volume = 48.0, Density = 13
Sphere: x = 15, Volume = 2531.25, Density = 8
Tetrahedron: a = 10, Volume = 117.85113019775793, Density = 11
Sphere: x = 1, Volume = 0.75, Density = 5
Sphere: x = 10, Volume = 750.0, Density = 19
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 16
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 22
Sphere: x = 6, Volume = 162.0, Density = 6
Sphere: x = 1, Volume = 0.75, Density = 4
Sphere: x = 24, Volume = 10368.0, Density = 9
Sphere: x = 14, Volume = 2058.0, Density = 1
Parallelepiped: a = 11  b = 5  c = 22, Volume = 1210.0, Density = 18
Sphere: x = 6, Volume = 162.0, Density = 17
Tetrahedron: a = 9, Volume = 85.91347391416554, Density = 21
Tetrahedron: a = 10, Volume = 117.85113019775793, Density = 8
Parallelepiped: a = 19  b = 0  c = 22, Volume = 0.0, Density = 21
Tetrahedron: a = 0, Volume = 0.0, Density = 6
Sphere: x = 3, Volume = 20.25, Density = 10
Parallelepiped: a = 24  b = 5  c = 5, Volume = 600.0, Density = 21
Sphere: x = 17, Volume = 3684.75, Density = 21
Sphere: x = 5, Volume = 93.75, Density = 3
Parallelepiped: a = 19  b = 20  c = 11, Volume = 4180.0, Density = 21
Tetrahedron: a = 2, Volume = 0.9428090415820635, Density = 8
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 11
Sphere: x = 19, Volume = 5144.25, Density = 13
Sphere: x = 22, Volume = 7986.0, Density = 21
Parallelepiped: a = 4  b = 3  c = 0, Volume = 0.0, Density = 8
Tetrahedron: a = 3, Volume = 3.1819805153394642, Density = 8
Parallelepiped: a = 10  b = 0  c = 22, Volume = 0.0, Density = 7
Tetrahedron: a = 8, Volume = 60.33977866125206, Density = 4
Sphere: x = 2, Volume = 6.0, Density = 1
Sphere: x = 6, Volume = 162.0, Density = 10
Sphere: x = 4, Volume = 48.0, Density = 23
Sphere: x = 1, Volume = 0.75, Density = 12
Parallelepiped: a = 19  b = 17  c = 23, Volume = 7429.0, Density = 10
Parallelepiped: a = 6  b = 8  c = 0, Volume = 0.0, Density = 21
Sphere: x = 13, Volume = 1647.75, Density = 12
Sphere: x = 1, Volume = 0.75, Density = 12
Parallelepiped: a = 20  b = 23  c = 9, Volume = 4140.0, Density = 18
Parallelepiped: a = 7  b = 22  c = 7, Volume = 1078.0, Density = 11
Sphere: x = 11, Volume = 998.25, Density = 4
Sphere: x = 19, Volume = 5144.25, Density = 5
Sphere: x = 12, Volume = 1296.0, Density = 3
Parallelepiped: a = 11  b = 3  c = 10, Volume = 330.0, Density = 3
Sphere: x = 0, Volume = 0.0, Density = 9
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 15
Sphere: x = 8, Volume = 384.0, Density = 23
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 23
Parallelepiped: a = 19  b = 8  c = 14, Volume = 2128.0, Density = 10
Sphere: x = 5, Volume = 93.75, Density = 12
Tetrahedron: a = 0, Volume = 0.0, Density = 17
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 20
Parallelepiped: a = 12  b = 6  c = 24, Volume = 1728.0, Density = 0
Sphere: x = 14, Volume = 2058.0, Density = 16
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 8
Sphere: x = 14, Volume = 2058.0, Density = 8
Sphere: x = 19, Volume = 5144.25, Density = 6
Tetrahedron: a = 10, Volume = 117.85113019775793, Density = 18
Parallelepiped: a = 18  b = 13  c = 6, Volume = 1404.0, Density = 13
Parallelepiped: a = 2  b = 1  c = 20, Volume = 40.0, Density = 5
Parallelepiped: a = 11  b = 12  c = 3, Volume = 396.0, Density = 4
Parallelepiped: a = 4  b = 8  c = 4, Volume = 128.0, Density = 5
Parallelepiped: a = 3  b = 22  c = 14, Volume = 924.0, Density = 12
Sphere: x = 24, Volume = 10368.0, Density = 5
Tetrahedron: a = 9, Volume = 85.91347391416554, Density = 24
Parallelepiped: a = 9  b = 1  c = 18, Volume = 162.0, Density = 14
Sphere: x = 7, Volume = 257.25, Density = 7
Sphere: x = 18, Volume = 4374.0, Density = 11
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 16
Sphere: x = 11, Volume = 998.25, Density = 10
Tetrahedron: a = 17, Volume = 579.0026026615848, Density = 19
Parallelepiped: a = 12  b = 7  c = 8, Volume = 672.0, Density = 8
Parallelepiped: a = 14  b = 17  c = 13, Volume = 3094.0, Density = 15
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 5
Parallelepiped: a = 13  b = 10  c = 14, Volume = 1820.0, Density = 6
Tetrahedron: a = 2, Volume = 0.9428090415820635, Density = 6
Parallelepiped: a = 24  b = 0  c = 20, Volume = 0.0, Density = 9
Parallelepiped: a = 5  b = 2  c = 21, Volume = 210.0, Density = 13
Sphere: x = 16, Volume = 3072.0, Density = 10
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 24
Parallelepiped: a = 13  b = 20  c = 11, Volume = 2860.0, Density = 13
Parallelepiped: a = 18  b = 23  c = 4, Volume = 1656.0, Density = 2
Sphere: x = 17, Volume = 3684.75, Density = 13
Parallelepiped: a = 13  b = 9  c = 9, Volume = 1053.0, Density = 17
Parallelepiped: a = 6  b = 24  c = 21, Volume = 3024.0, Density = 10
Sphere: x = 13, Volume = 1647.75, Density = 6
Parallelepiped: a = 19  b = 12  c = 4, Volume = 912.0, Density = 22
Parallelepiped: a = 15  b = 7  c = 7, Volume = 735.0, Density = 2
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 11
Parallelepiped: a = 21  b = 14  c = 14, Volume = 4116.0, Density = 4
Sphere: x = 7, Volume = 257.25, Density = 9
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 22
Sphere: x = 19, Volume = 5144.25, Density = 18
Tetrahedron: a = 1, Volume = 0.11785113019775793, Density = 18
Sphere: x = 0, Volume = 0.0, Density = 3
Parallelepiped: a = 19  b = 0  c = 19, Volume = 0.0, Density = 15
Parallelepiped: a = 20  b = 5  c = 9, Volume = 900.0, Density = 9
Sphere: x = 0, Volume = 0.0, Density = 6
Sphere: x = 21, Volume = 6945.75, Density = 20
Parallelepiped: a = 3  b = 14  c = 4, Volume = 168.0, Density = 6
Parallelepiped: a = 19  b = 19  c = 23, Volume = 8303.0, Density = 0
Parallelepiped: a = 22  b = 22  c = 4, Volume = 1936.0, Density = 22
Parallelepiped: a = 9  b = 18  c = 19, Volume = 3078.0, Density = 14
Tetrahedron: a = 20, Volume = 942.8090415820634, Density = 4
Sphere: x = 5, Volume = 93.75, Density = 0
Sphere: x = 4, Volume = 48.0, Density = 0
Sphere: x = 17, Volume = 3684.75, Density = 23
Parallelepiped: a = 4  b = 18  c = 6, Volume = 432.0, Density = 2
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 19
Parallelepiped: a = 11  b = 7  c = 20, Volume = 1540.0, Density = 12
Tetrahedron: a = 3, Volume = 3.1819805153394642, Density = 1
Sphere: x = 14, Volume = 2058.0, Density = 21
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 1
Tetrahedron: a = 16, Volume = 482.7182292900165, Density = 1
Sphere: x = 22, Volume = 7986.0, Density = 3
Parallelepiped: a = 4  b = 24  c = 15, Volume = 1440.0, Density = 1
Parallelepiped: a = 13  b = 7  c = 8, Volume = 728.0, Density = 17
Parallelepiped: a = 19  b = 5  c = 1, Volume = 95.0, Density = 12
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 1
Parallelepiped: a = 5  b = 6  c = 19, Volume = 570.0, Density = 17
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 18
Tetrahedron: a = 3, Volume = 3.1819805153394642, Density = 11
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 9
Sphere: x = 13, Volume = 1647.75, Density = 1
Sphere: x = 8, Volume = 384.0, Density = 24
Sphere: x = 21, Volume = 6945.75, Density = 6
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 20
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 14
Parallelepiped: a = 10  b = 4  c = 6, Volume = 240.0, Density = 14
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 9
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 10
Sphere: x = 8, Volume = 384.0, Density = 14
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 3
Sphere: x = 23, Volume = 9125.25, Density = 17
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 0
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 21
Sphere: x = 9, Volume = 546.75, Density = 21
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 12
Parallelepiped: a = 10  b = 2  c = 0, Volume = 0.0, Density = 18
Parallelepiped: a = 18  b = 22  c = 20, Volume = 7920.0, Density = 11
Sphere: x = 3, Volume = 20.25, Density = 11
Sphere: x = 16, Volume = 3072.0, Density = 17
Parallelepiped: a = 9  b = 18  c = 16, Volume = 2592.0, Density = 9
Parallelepiped: a = 21  b = 10  c = 7, Volume = 1470.0, Density = 9
Parallelepiped: a = 16  b = 17  c = 2, Volume = 544.0, Density = 20
Sphere: x = 17, Volume = 3684.75, Density = 13
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 23
Sphere: x = 3, Volume = 20.25, Density = 19
Tetrahedron: a = 17, Volume = 579.0026026615848, Density = 13
Parallelepiped: a = 24  b = 2  c = 9, Volume = 432.0, Density = 14
Parallelepiped: a = 5  b = 4  c = 17, Volume = 340.0, Density = 18
Parallelepiped: a = 19  b = 2  c = 17, Volume = 646.0, Density = 13
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 4
Parallelepiped: a = 2  b = 23  c = 1, Volume = 46.0, Density = 1
Parallelepiped: a = 9  b = 21  c = 14, Volume = 2646.0, Density = 4
Parallelepiped: a = 2  b = 5  c = 1, Volume = 10.0, Density = 11
Sphere: x = 2, Volume = 6.0, Density = 7
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 3
Sphere: x = 0, Volume = 0.0, Density = 10
Parallelepiped: a = 15  b = 21  c = 3, Volume = 945.0, Density = 2
Parallelepiped: a = 11  b = 10  c = 23, Volume = 2530.0, Density = 9
Sphere: x = 13, Volume = 1647.75, Density = 12
Sphere: x = 11, Volume = 998.25, Density = 2
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 24
Parallelepiped: a = 14  b = 4  c = 1, Volume = 56.0, Density = 4
Tetrahedron: a = 17, Volume = 579.0026026615848, Density = 14
